Annual Spend (k$),Purchase Frequency (Score),True Label
20.993428306022466,6.930867849414407,Budget Friendly
21.295377076201383,7.761514928204012,Budget Friendly
19.531693250553328,6.88293152152541,Budget Friendly
23.158425631014783,7.383717364576454,Budget Friendly
19.061051228130097,7.2712800217929825,Budget Friendly
19.073164614375074,6.767135123214872,Budget Friendly
20.48392454313207,6.043359877671101,Budget Friendly
16.550164334973935,6.718856235379514,Budget Friendly
17.974337759331153,7.157123666297637,Budget Friendly
18.183951848957577,6.293848149332354,Budget Friendly
22.931297537843108,6.8871118497567325,Budget Friendly
20.13505640937585,6.287625906893272,Budget Friendly
18.911234550949636,7.055461294854933,Budget Friendly
17.698012845155393,7.187849009172836,Budget Friendly
18.79872262016239,6.854153125103362,Budget Friendly
18.796586775541208,7.926139092254469,Budget Friendly
19.97300555052413,6.47114453552205,Budget Friendly
21.645089824206377,6.389578175014488,Budget Friendly
20.41772719000951,6.0201649380601125,Budget Friendly
17.34362790220314,7.098430617934562,Budget Friendly
21.47693315999082,7.085684140594985,Budget Friendly
19.768703435223518,6.849448152205356,Budget Friendly
17.042956019265144,6.640077895802646,Budget Friendly
19.078722458080424,7.528561113109458,Budget Friendly
20.687236579136922,6.118479922318633,Budget Friendly
20.64816793878959,6.807458859791842,Budget Friendly
18.646155999388082,7.305838144420434,Budget Friendly
22.0619990449919,7.465640059558099,Budget Friendly
18.321564953554724,6.845393812074393,Budget Friendly
20.662526862807127,7.48777256356118,Budget Friendly
19.04165152430942,6.907170511668092,Budget Friendly
17.787330051987944,6.401896687959665,Budget Friendly
21.625051644788396,7.678120014285412,Budget Friendly
19.855979756839332,7.501766448946012,Budget Friendly
20.723272050095268,6.677440122697438,Budget Friendly
20.722791211016826,7.769018283232985,Budget Friendly
19.928347921780098,7.782321827907003,Budget Friendly
14.76050979182051,7.410951252187612,Budget Friendly
20.17409413647634,6.850496324767066,Budget Friendly
20.183521553071003,6.006215542699554,Budget Friendly
19.560656224324976,7.178556285755874,Budget Friendly
22.955788089483033,6.740864890863176,Budget Friendly
18.383012794213624,6.749121478207732,Budget Friendly
21.83080423540415,7.164375554829842,Budget Friendly
18.940479592465923,7.256633716556678,Budget Friendly
20.19415509869608,7.484322495266444,Budget Friendly
18.595893812245293,6.836168926701116,Budget Friendly
19.215783693735684,6.268242525933941,Budget Friendly
20.59224055412915,7.130527636089945,Budget Friendly
20.01022691328492,6.882706433312427,Budget Friendly
17.169258515899173,6.78967733861732,Budget Friendly
19.314570966946462,6.59886136538919,Budget Friendly
19.67742857666798,7.20202542840727,Budget Friendly
23.77237180242106,7.087288906415919,Budget Friendly
20.51510078144553,6.962777042116916,Budget Friendly
16.162457569401916,6.986743062275392,Budget Friendly
20.120460419882054,8.231621056242643,Budget Friendly
19.615278070437753,7.150773671166807,Budget Friendly
19.930576460589513,6.415660981190234,Budget Friendly
22.285645629030043,7.375966516343387,Budget Friendly
21.582063894086094,6.54530627260263,Budget Friendly
22.805588621872197,6.29907446860386,Budget Friendly
21.17371418760054,8.095227812904989,Budget Friendly
18.01892734973862,6.716851135198614,Budget Friendly
20.199302730175283,6.7482621729419,Budget Friendly
16.898673137867736,7.034281487403014,Budget Friendly
17.87539257254779,7.23679621531759,Budget Friendly
18.161151531532393,7.77496720250877,Budget Friendly
18.433493415327526,6.838969241897162,Budget Friendly
21.62703443473934,6.3845678417830225,Budget Friendly
20.454919869208258,7.653571377141214,Budget Friendly
16.785033530877545,7.092316929266152,Budget Friendly
20.519765588496846,7.390911435888655,Budget Friendly
17.526098578243836,6.339771693457862,Budget Friendly
21.043883131233795,7.148492336616593,Budget Friendly
20.500985700691754,7.1732241047484875,Budget Friendly
18.63995055684302,7.116126848580501,Budget Friendly
20.58614494659736,6.642824290986816,Budget Friendly
23.731549022289514,7.236916460455894,Budget Friendly
17.617393005594703,7.328276804316915,Budget Friendly
18.050636659545358,7.393542301871226,Budget Friendly
22.317191158014808,6.5896588408241445,Budget Friendly
21.926752258488644,7.206390463468249,Budget Friendly
21.64412031998898,7.948396491326974,Budget Friendly
19.50922376799426,6.623131917821255,Budget Friendly
18.220971140748954,6.592094857517281,Budget Friendly
19.845796581171793,7.170575987408322,Budget Friendly
20.55338159866004,7.413591624518012,Budget Friendly
20.026003783755815,7.726767038578658,Budget Friendly
19.47068633352409,8.36008458329481,Budget Friendly
21.251334695530012,6.571421221791859,Budget Friendly
17.858215003877774,7.241236207621593,Budget Friendly
19.5530744293483,7.357000247046046,Budget Friendly
20.94647524914709,6.963585543671564,Budget Friendly
18.30641256386319,6.242576387657068,Budget Friendly
19.106970095865957,7.428199397161736,Budget Friendly
20.42818748826041,6.377130610644006,Budget Friendly
20.346361851702365,7.192658689864419,Budget Friendly
18.232285127597734,7.076862552972764,Budget Friendly
20.116417436892,6.428514851084689,Budget Friendly
20.715574720696566,7.280392263184117,Budget Friendly
22.166102486350553,7.526901026017452,Budget Friendly
17.244661264085817,6.531087480042439,Budget Friendly
21.03007053441732,7.256892975456104,Budget Friendly
21.030095372612095,8.926365745327361,Budget Friendly
21.141781021386333,7.567782820090299,Budget Friendly
21.908003526986406,7.325695625652899,Budget Friendly
19.369461510719308,7.379484610246633,Budget Friendly
18.454349570924855,6.881590696629996,Budget Friendly
19.02927290434179,7.040937069693161,Budget Friendly
24.629317133347016,6.066367403704126,Budget Friendly
21.372520380749027,6.193642064405174,Budget Friendly
19.056136268421135,7.544475298483683,Budget Friendly
20.128560038190926,6.461127611035347,Budget Friendly
18.569392581480063,7.339798874467338,Budget Friendly
18.539266736565725,7.108229294790988,Budget Friendly
20.091143679807626,6.674199826197092,Budget Friendly
24.28788817865065,7.316959511159006,Budget Friendly
15.949714826684787,7.093227157384714,Budget Friendly
18.676427070463223,7.426216667398112,Budget Friendly
18.414958523134597,6.94263177926655,Budget Friendly
21.009974557960913,7.432877597085061,Budget Friendly
17.59940718588845,6.832749382079526,Budget Friendly
19.050109377678087,6.673335383713144,Budget Friendly
23.530908480562193,7.202490855480478,Budget Friendly
17.47823209132991,7.458930973527388,Budget Friendly
24.244312394025265,7.5162326302755735,Budget Friendly
16.961260068091974,6.757882963566875,Budget Friendly
22.533822298373245,6.64616526719061,Budget Friendly
20.887638856292458,7.387317026714668,Budget Friendly
18.146139056843833,6.9702373219691,Budget Friendly
13.517465319861856,6.487806179332855,Budget Friendly
19.49486369721368,6.376108409017576,Budget Friendly
23.26482260786327,6.284929311019684,Budget Friendly
19.119911026606033,7.065370288643046,Budget Friendly
22.88254657813223,6.2820689244102805,Budget Friendly
22.32632750430992,7.0051165305097935,Budget Friendly
18.036982697904097,7.231051737131636,Budget Friendly
20.398119391146942,6.6998915614206025,Budget Friendly
20.13960416998004,6.80734320156912,Budget Friendly
20.227034690502496,7.331065337260523,Budget Friendly
23.172033632290706,6.381092250586575,Budget Friendly
24.266066749312532,6.023956100238749,Budget Friendly
19.696429809928834,7.2941586032422885,Budget Friendly
20.561983735470065,6.688650240089703,Budget Friendly
19.58375549928545,6.753499532670584,Budget Friendly
18.821270486111576,7.4248010485105125,Budget Friendly
20.714030971930093,6.653545202369673,Budget Friendly
21.799199750866503,7.153649760438305,Budget Friendly
21.62572423767792,7.314814420961806,Budget Friendly
68.42009978155855,2.879637919606061,Premium
99.94587210246523,5.22074053086693,Premium
84.58196812071704,4.234654766617564,Premium
110.5532979157685,2.8168572223283403,Premium
95.94194762340075,3.5956146951322117,Premium
80.6463759354556,6.19755370397438,Premium
101.5083269797606,5.627019272001277,Premium
111.10957614308658,4.042007683265518,Premium
98.63905942589928,3.379466486813088,Premium
91.48332704976885,3.739713891264631,Premium
86.93991929985437,5.190314050873827,Premium
68.63558633533054,8.184774551370921,Premium
64.87965237000596,1.5716227744245357,Premium
108.16221747000135,5.583325387925871,Premium
97.4823963410431,5.25669101852856,Premium
84.7550645430617,2.2054912570283367,Premium
86.51609116387452,2.6456765769757764,Premium
104.50239466835502,3.705885236995723,Premium
68.49005606414977,3.3572283166940133,Premium
93.25862908551248,2.8725508943920506,Premium
68.55559208867137,4.487374422983825,Premium
89.89933142217446,2.9861136492577405,Premium
75.57923388763355,4.464099874715273,Premium
56.03831317005351,1.1850724512468895,Premium
70.63111557495128,3.5731056965763055,Premium
91.2181513119601,6.950712433899104,Premium
102.15319246404039,3.680122940073146,Premium
84.61967584194622,1.9949412707243823,Premium
84.6297372801522,3.422682722159723,Premium
91.45437120676179,2.345538112895354,Premium
95.38693028482345,7.065477826005155,Premium
82.82479703086285,4.8034234441978825,Premium
98.80287983422225,3.1975590562283274,Premium
89.48184963620834,4.02518480156359,Premium
86.95352197097664,2.4539804322890673,Premium
85.49020348517885,4.9959965824909,Premium
114.02287215590084,5.918541652170414,Premium
128.06364915023113,2.465304874223901,Premium
102.44641273441357,4.366684011476703,Premium
128.79605866435344,2.383403429289697,Premium
68.20556315638447,2.8012147091119557,Premium
42.52208551380386,2.948489956638478,Premium
69.81734676892604,4.300787572952415,Premium
91.83511951554318,7.7523416784317725,Premium
104.008476763721,2.8461926886751936,Premium
67.03170657303284,4.983838343013011,Premium
58.59533585958715,7.6629175317087075,Premium
108.58880241442574,3.0616486957905904,Premium
50.73730941818245,6.707744748330826,Premium
82.70920309494764,6.4756326239469235,Premium
53.11144682411266,2.8012499540924543,Premium
85.10487399436366,4.093961187529484,Premium
75.99869057041512,5.2456998646949975,Premium
63.64759141234811,3.7152410299574132,Premium
87.40591263423798,5.028877668117498,Premium
99.2322975617778,1.7507158163242615,Premium
54.317716585287556,6.555353643797018,Premium
91.64628023959183,2.5030269268868928,Premium
116.02303951045046,4.231349268585717,Premium
108.58594368127653,4.135036962820218,Premium
126.21495849763974,7.510681684886409,Premium
80.02071703041852,5.943141901908711,Premium
97.90751899170294,6.737263115064698,Premium
65.70153078839792,5.372102919996879,Premium
106.16848973699176,0.48252102715377143,Premium
61.3348297466845,-0.07846435552020115,Premium
79.61186331110885,5.435084511591924,Premium
115.04714104192055,4.14818956083955,Premium
117.57231091142583,1.2397970835702172,Premium
50.932351212896904,3.8889046022067624,Premium
92.68130897878615,3.9346105038118138,Premium
43.65115799920247,3.821759920974423,Premium
58.91060998990294,5.339345097660077,Premium
92.33196492193696,2.1202404273452897,Premium
74.72266165326613,1.8815729562220969,Premium
83.74641805453656,5.910284641002477,Premium
65.28547907328912,5.008093031035688,Premium
74.39484763255118,2.4142543354753117,Premium
82.85939280090885,1.9295153551612518,Premium
73.92701389305635,1.604244214822303,Premium
124.29450265832779,4.070527103943458,Premium
71.00548984014829,4.427959821468444,Premium
82.7534390061834,3.558060800933554,Premium
97.2833340008685,5.51501542009461,Premium
74.38997704778944,2.8483635187106398,Premium
79.49896605696712,-0.6038423294711697,Premium
54.69617875602896,6.733748534889049,Premium
117.89935427002567,3.501927920887243,Premium
96.53113926111533,4.622500309087072,Premium
146.57761616910477,6.2391498228691535,Premium
82.44164817038467,2.0889191187991485,Premium
52.87107359484855,4.406927271734446,Premium
69.87298509431393,1.1554925808046517,Premium
72.06854231514947,1.83690399277121,Premium
118.74283270145129,5.763279513898901,Premium
84.84054717366766,6.959888277780052,Premium
86.54736615295236,2.2774315973434724,Premium
115.46248154539315,5.077820087369317,Premium
64.25507691347087,3.6193226438327835,Premium
67.48763493230486,1.2344005380713279,Premium
103.52355095063282,7.818833280940261,Premium
57.02864852361718,5.125938473381142,Premium
71.98714861756346,3.025749232470608,Premium
73.15212151522262,2.2720184606403677,Premium
85.97043255889653,2.3380997671779244,Premium
90.40913651559677,3.8995237811017263,Premium
80.2210390626718,2.1848726759168042,Premium
73.46457338863334,5.510782451651512,Premium
95.01834375248761,2.044889510402898,Premium
86.98664610858452,5.502774246743578,Premium
51.61189437757257,5.08672038475987,Premium
71.74752482108306,5.141197337186319,Premium
69.73481686914967,0.3902357986709619,Premium
52.44915124233675,4.096169893322764,Premium
90.19445003442964,2.191366749791183,Premium
97.77184917554747,0.6769598754620803,Premium
83.67840402705367,1.5779676004750867,Premium
71.96327784395682,4.094797342632828,Premium
67.79173269432096,3.230888911540349,Premium
105.1258561842888,2.8462162609537023,Premium
101.71384224130284,1.7405862906847638,Premium
95.59608355830565,6.883137241315801,Premium
35.56710999745421,2.406209489059046,Premium
96.5414425436108,3.593909227914015,Premium
92.42291746742617,2.792029626568359,Premium
86.731795749458,3.688645529215841,Premium
108.35564123319614,4.508841686602426,Premium
91.75205324150404,3.1762460677550655,Premium
75.24787551855013,3.134883624360758,Premium
92.88904284756593,3.158031038359474,Premium
90.79549713792827,8.150801597290878,Premium
102.42249406863385,3.347952935664318,Premium
109.02427844327889,3.183849253956897,Premium
44.23750929644292,1.9838273781651918,Premium
47.58416157948289,3.296973031917383,Premium
85.36836758379103,7.352874624550566,Premium
91.53854747528325,3.5617989423822713,Premium
101.58811162366979,-0.42227061801577026,Premium
89.71229116217131,5.541730387773933,Premium
55.42827508440317,6.287508086413858,Premium
